img	modality	set	source	img_path	higher_modality	split_set	labeled	split_set_al	High_Confidence_Samples
11373_2007_9226_Fig1_HTML-18.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-18.jpg	MICROSCOPY	TRAIN	LABELED	TRAIN	0
1423-0127-16-7-1-6.jpg	DMEL	TRAIN	clef16	2016/train/DMEL/1423-0127-16-7-1-6.jpg	MICROSCOPY	TRAIN	LABELED	TRAIN	0
1465-9921-10-26-2-3.jpg	GGEL	TRAIN	clef16	2016/train/GGEL/1465-9921-10-26-2-3.jpg	EXPERIMENTAL	TRAIN	LABELED	TRAIN	0
1465-9921-11-121-2-6.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1465-9921-11-121-2-6.jpg	GRAPHICS	TRAIN	LABELED	TRAIN	0
1465-9921-11-154-7-9.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1465-9921-11-154-7-9.jpg	GRAPHICS	TRAIN	LABELED	TRAIN	0
1465-9921-12-61-7-4.jpg	GGEN	TRAIN	clef16	2016/train/GGEN/1465-9921-12-61-7-4.jpg	MOLECULAR	TRAIN	LABELED	TRAIN	0
1465-9921-7-50-6-2.jpg	DMLI	TRAIN	clef16	2016/train/DMLI/1465-9921-7-50-6-2.jpg	MICROSCOPY	TRAIN	LABELED	TRAIN	0
1465-9921-8-3-2-4.jpg	DMLI	TRAIN	clef16	2016/train/DMLI/1465-9921-8-3-2-4.jpg	MICROSCOPY	TRAIN	LABELED	TRAIN	0
1465-9921-9-28-8-6.jpg	DMLI	TRAIN	clef16	2016/train/DMLI/1465-9921-9-28-8-6.jpg	MICROSCOPY	TRAIN	LABELED	TRAIN	0
1471-2091-5-12-4-2.jpg	D3DR	TRAIN	clef16	2016/train/D3DR/1471-2091-5-12-4-2.jpg	MOLECULAR	TRAIN	LABELED	TRAIN	0
1471-2091-9-4-3-5.jpg	GGEL	TRAIN	clef16	2016/train/GGEL/1471-2091-9-4-3-5.jpg	EXPERIMENTAL	TRAIN	LABELED	TRAIN	0
1471-2105-10-157-2-3.jpg	D3DR	TRAIN	clef16	2016/train/D3DR/1471-2105-10-157-2-3.jpg	MOLECULAR	TRAIN	LABELED	TRAIN	0
