img	modality	set	source	img_path	higher_modality	split_set	labeled	split_set_al
11373_2007_9226_Fig1_HTML-11.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-11.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-13.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-13.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-14.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-14.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-15.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-15.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-16.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-16.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-17.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-17.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-20.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-20.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-2.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-2.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-4.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-4.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-5.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-5.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-6.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-6.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
11373_2007_9226_Fig1_HTML-7.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-7.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
12178_2007_9007_Fig1_HTML-2.jpg	DMTR	TRAIN	clef16	2016/train/DMTR/12178_2007_9007_Fig1_HTML-2.jpg	MICROSCOPY	TRAIN	UNLABELED	TRAIN
12178_2008_9027_Fig4_HTML-2.jpg	DRXR	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-2.jpg	ORGANISMS	TRAIN	UNLABELED	TRAIN
12178_2008_9027_Fig4_HTML-3.jpg	DRXR	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-3.jpg	ORGANISMS	TRAIN	UNLABELED	TRAIN
12178_2009_9056_Fig9_HTML-1.jpg	DRUS	TRAIN	clef16	2016/train/DRUS/12178_2009_9056_Fig9_HTML-1.jpg	ORGANISMS	TRAIN	UNLABELED	TRAIN
1297-9686-42-10-3-1.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-1.jpg	GRAPHICS	TRAIN	UNLABELED	TRAIN
1297-9686-42-10-3-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-2.jpg	GRAPHICS	TRAIN	UNLABELED	TRAIN
1297-9686-42-10-3-4.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-4.jpg	GRAPHICS	TRAIN	UNLABELED	TRAIN
1423-0127-16-109-3-1.jpg	D3DR	TRAIN	clef16	2016/train/D3DR/1423-0127-16-109-3-1.jpg	MOLECULAR	TRAIN	UNLABELED	TRAIN
