img	modality	set	source	img_path	higher_modality	labeled	split_set_al
1471-2407-8-294-1-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2407-8-294-1-2.jpg	GRAPHICS	LABELED	TRAIN
1752-0509-5-21-5-3.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1752-0509-5-21-5-3.jpg	GRAPHICS	LABELED	TRAIN
PMC5031474_gr3.png	DRMR	TRAIN	openi	OPENI_MRI/PMC5031474_gr3.png	ORGANISMS	LABELED	TRAIN
1471-2202-8-51-4-6.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1471-2202-8-51-4-6.jpg	MICROSCOPY	LABELED	TRAIN
1750-1326-6-28-5-4.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1750-1326-6-28-5-4.jpg	GRAPHICS	LABELED	TRAIN
1472-6807-9-7-5-2.jpg	D3DR	TRAIN	clef16	2016/train/D3DR/1472-6807-9-7-5-2.jpg	MOLECULAR	LABELED	TRAIN
1471-2105-8-476-2-4.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2105-8-476-2-4.jpg	GRAPHICS	LABELED	TRAIN
1471-2121-9-1-4-6.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1471-2121-9-1-4-6.jpg	MICROSCOPY	LABELED	TRAIN
1471-2105-10-214-2-4.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2105-10-214-2-4.jpg	GRAPHICS	LABELED	TRAIN
1471-2202-9-40-2-9.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1471-2202-9-40-2-9.jpg	MICROSCOPY	LABELED	TRAIN
1471-2199-12-16-1-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2199-12-16-1-2.jpg	GRAPHICS	LABELED	TRAIN
1472-6750-3-7-6-1.jpg	GNCP	TRAIN	clef16	2016/train/GNCP/1472-6750-3-7-6-1.jpg	OTHER	LABELED	TRAIN
1756-9966-29-73-4-1.jpg	DRMR	TRAIN	clef16	2016/train/DRMR/1756-9966-29-73-4-1.jpg	ORGANISMS	LABELED	TRAIN
PMC4554333_amjcaserep-16-574-g001.png	DRXR	TRAIN	openi	OPENI_XRAY/PMC4554333_amjcaserep-16-574-g001.png	ORGANISMS	LABELED	TRAIN
1471-2105-9-486-1-6.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2105-9-486-1-6.jpg	GRAPHICS	LABELED	TRAIN
1471-2121-2-16-8-1.jpg	GGEL	TRAIN	clef16	2016/train/GGEL/1471-2121-2-16-8-1.jpg	EXPERIMENTAL	LABELED	TRAIN
PMC4384985_10194_2015_497_Fig1_HTML.png	DRMR	TRAIN	openi	OPENI_MRI/PMC4384985_10194_2015_497_Fig1_HTML.png	ORGANISMS	LABELED	TRAIN
1471-2121-11-60-6-16.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1471-2121-11-60-6-16.jpg	MICROSCOPY	LABELED	TRAIN
1472-6882-6-30-5-3.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1472-6882-6-30-5-3.jpg	GRAPHICS	LABELED	TRAIN
1757-1626-2-90-1-2.jpg	DRCT	TRAIN	clef16	2016/train/DRCT/1757-1626-2-90-1-2.jpg	ORGANISMS	LABELED	TRAIN
1471-2482-6-10-5.jpg	DMLI	TRAIN	clef13	2013/train/DMLI/1471-2482-6-10-5.jpg	MICROSCOPY	LABELED	TRAIN
1746-6148-7-64-3-2.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1746-6148-7-64-3-2.jpg	MICROSCOPY	LABELED	TRAIN
1746-1596-5-27-3-3.jpg	DMLI	TRAIN	clef16	2016/train/DMLI/1746-1596-5-27-3-3.jpg	MICROSCOPY	LABELED	TRAIN
1476-7961-3-3-1-4.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1476-7961-3-3-1-4.jpg	GRAPHICS	LABELED	TRAIN
1471-2350-8-44-4-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2350-8-44-4-2.jpg	GRAPHICS	LABELED	TRAIN
1423-0127-17-77-3-3.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1423-0127-17-77-3-3.jpg	MICROSCOPY	LABELED	TRAIN
1477-7827-3-21-5-4.jpg	DMTR	TRAIN	clef16	2016/train/DMTR/1477-7827-3-21-5-4.jpg	MICROSCOPY	LABELED	TRAIN
1757-2215-4-4-6-2.jpg	DMLI	TRAIN	clef16	2016/train/DMLI/1757-2215-4-4-6-2.jpg	MICROSCOPY	LABELED	TRAIN
1471-2121-9-26-2-1.jpg	DMEL	TRAIN	clef16	2016/train/DMEL/1471-2121-9-26-2-1.jpg	MICROSCOPY	LABELED	TRAIN
1471-2334-5-59-3-1.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2334-5-59-3-1.jpg	GRAPHICS	LABELED	TRAIN
1475-9292-2-1-4-2.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1475-9292-2-1-4-2.jpg	MICROSCOPY	LABELED	TRAIN
1476-7120-6-48-6.jpg	DRAN	TRAIN	clef13	2013/train/DRAN/1476-7120-6-48-6.jpg	ORGANISMS	LABELED	TRAIN
PMC3649335_jscr-2011-12-7fig1.png	DRXR	TRAIN	openi	OPENI_XRAY/PMC3649335_jscr-2011-12-7fig1.png	ORGANISMS	LABELED	TRAIN
1471-2253-5-4-12-5.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2253-5-4-12-5.jpg	GRAPHICS	LABELED	TRAIN
1471-2210-2-2-7-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1471-2210-2-2-7-2.jpg	GRAPHICS	LABELED	TRAIN
PMC3649520_jscr-2012-4-7fig1.png	DRCT	TRAIN	openi	OPENI_CT/PMC3649520_jscr-2012-4-7fig1.png	ORGANISMS	LABELED	TRAIN
1743-422X-8-256-12-4.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1743-422X-8-256-12-4.jpg	MICROSCOPY	LABELED	TRAIN
1471-2407-7-219-17-2.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/1471-2407-7-219-17-2.jpg	MICROSCOPY	LABELED	TRAIN
PMC2908858_kjo-20-234-g003.png	DRMR	TRAIN	openi	OPENI_MRI/PMC2908858_kjo-20-234-g003.png	ORGANISMS	LABELED	TRAIN
PMC3649173_jscr-2010-9-5fig2.png	DRMR	TRAIN	openi	OPENI_MRI/PMC3649173_jscr-2010-9-5fig2.png	ORGANISMS	LABELED	TRAIN
1748-7161-3-13-1-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1748-7161-3-13-1-2.jpg	GRAPHICS	LABELED	TRAIN
