"1465-9921-8-75-5	Immunohistochemical localization of Bax in the lung. Lung biopsies were taken 24 h after injection of carrageenan. No positive staining for Bax was observed in the lung tissues collected at 24 hours from sham WT mice ( a ) and from sham TNF- α R1KO mice ( b ). On the contrary", tissue sections obtained from WT animals at 24 hours ( c ) after carrageenan injection demonstrate positive staining for TNF- α  mainly localized in the infiltrated inflammatory cells, pneumocytes as well as in vascular wall. In carrageenan-injected TNF- α R1KO mice, no positive staining for Bax were observed in the lung tissues collected at 24 hours ( d ). Similarly, the treatment of WT mice with Etanercept (5 mg/kg administered s.c. 2 h prior carrageenan) visibly and significantly reduced the positive staining for Bax in the infiltrated inflammatory cells, pneumocytes as well as in vascular wall in the lung tissues collected at 24 hours ( e ). Figure is representative of at least 3 experiments performed on different experimental days.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2105-8-61-7	Reconstruction of the factor loadings matrix for the Hemoglobin data . Mean square errors (MSEs) for (a) and (c) the factor loadings matrix   ", and (b) and (d) the factors matrix  F . The positions of the zero entries in the loadings matrix are not given a priori. FA stands for the output of a given FA algorithm. On this output, a number of factor rotation methods (varimax (V), quartimax (Q), equamax (E), tanh (T) and procrustes (P)) are evaluated based on the MSE. (c) and (d) show the performance of algorithms F and W under different priors regarding the loadings matrix (for further details see section  Hemoglobin dataset ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2121-11-92-4	Elevated Tpk3p activity affects colony morphology . Cell death was visualized within growing yeast colonies grown for 5 days on rich media containing 10  μ M Phloxine B containing 4 mM cAMP. Cells that are dead or dying accumulate the dye which stains them pink/red. Colonies were visualised from above before dissection and images captured incross section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2121-8-8-6	Colocalization of CLIC1 with markers of plasma membrane and nucleus following digitonin extraction . Panc1 cells were grown on glass coverslips and extracted with digitonin prior to PLP fixation and staining for CLIC1 (red) and subcellular compartment markers (green). The right column in each set is a merged image generated from the red (left column) and green (center column) channels.  A", B.  Two separate fields stained for CLIC1 (red) and Integrin  α 2 (green), a plasma membrane marker.  C.  Cells stained for CLIC1 (red) and Annexin2 (green), a plasma membrane marker.  D.  Cells stained for CLIC1 (red) and Nucleoporin p62 (green) a marker of nuclear envelope. The scale bar in panel A represents 20  μ m and applies to all panels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-213X-7-28-2	Retinal cell-type marker analysis in  disarrayed  eyes . Transverse central retinal sections from 96 hpf wild-type (A",C,E,G) and  disarrayed  (B,D,F,H) embryos assessed for cell-type and lamina specific markers. (A,B) Immunofluorescence for zn8 antigen (retinal ganglion cells and their axons); (C, D) parvalbumin (amacrine cells and their processes); (E,F) zpr1 antigen (cone photoreceptor cells); and (G,H) SV2 antigen (synaptic vesicles). All cell types are present and in the correct laminar position. All figures are bright field images overlaid with the immunofluorescent label.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-213X-8-22-1	Identification of homeobox factors in testicular Leydig cells and in mouse epididymis . A degenerate PCR was performed using cDNAs from mLTC-1 Leydig cell line", purified Leydig cells from adult rats (ALC) and from all three segments of the mouse epididymis and resulted in the amplification of a 180 bp fragment. The fragments were subcloned in pBluescript and sequenced to determine the nature of the homeoprotein (see Table 1).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-213X-8-65-1	Tie2Cre +/- Srf f / f  embryos exhibit internal hemorrhaging . Photographs of whole unfixed", unstained mouse embryos at E10.5 (A, B), E11.5 (C, D), E12.5 (E, F) and E13.5 (G, H).  Tie2Cre +/- Srf f / f  mutant embryos (B, D, F, H) exhibited internal hemorrhaging compared to wild-type littermates (A, C, E, G). This effect progressed with increasing gestational age. E14.5 mutant embryos were grossly necrotic and unsuitable for analysis. Labelled boxes in Fig. 1 correspond to images in Fig. 2.; Lv = liver. Arrowhead marks minimal hemorrhaging observed in E11.5 embryos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2148-4-22-1	Average substitution levels", with 95% confidence intervals, for orthologous human-mouse sequence pairs with paralogs (duplicates  ��  light gray bars) and with no paralogs (singletons  ��  dark gray bars).  The x-axis labels indicate comparisons where orthologous pairs were classified as duplicates or singletons based on three criteria: 1  ��  presence of a paralog in the human genome alone (Human), 2  ��  presence of a paralog in the mouse genome alone (Mouse) and 3  ��  presence of a paralog in the human or mouse genome (Human  &  Mouse). a  ��  amino acid substitution levels calculated using the gamma correction for multiple substitutions. b  ��  ratio of non-synonymous (dN) to synonymous (dS) nucleotide CDS substitutions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2156-12-83-4	chl1  cells show reduced association of the cohesin subunit Scc1p with  CEN3  and Chl1p is required to maintain cohesion after S-phase . A. ChIP assay for detecting association of Scc1p at centromeres in US3335 (wild-type)"," US3335Dchl1 ( chl1 ) and US3335  sir3 ( sir3 ) cells. Cells from all the three strains were grown to mid-log phase and fixed in formaldehyde for 2 h before chromatin isolation. + refers to ""plus antibody"""," - refers to ""no antibody"" and SM refers to ""starting material"". PCR with  CEN3  specific primers gave a 249 bp product.  B . Quantification of the enrichment of the  CEN3  PCR product over control levels in  chl1  and  sir3  mutants", relative to that in the wild-type. Averages and standard deviations are from three independent experiments performed as described above.  C and D . Chl1p is required for the maintenance of cohesion in both S- and G2 phases. US3329 (wild-type), US3329  chl1 ( chl1 ) and SL25 ( scc1-73 ) cells were arrested by alpha-factor in G1 at 25 ° C for 2 hours, washed and released in fresh YEPD containing nocodazole (15  μ g/ml). After a further growth at 25 ° C for twenty minutes, the cultures were shifted to 35 ° C (0 min).  CENV -GFP dot separation was monitored for 150 minutes after the temperature shift. ( C ) DNA content of the cells measured by flow cytometry. Arrows indicate G1 and G2 DNA contents. ( D ) Graph represents percentage of cells with 2 GFP signals (separated dots). 100-150 cells were analyzed in each case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2164-11-395-1	Comparison of band number distribution between agarose-based fingerprints and HICF . A: agarose-based fingerprints; B: HICF; C: an example of two agarose FPC contig joined in HICF. Red bands are matching bands to the highlighted (in blue) BAC. Counts of matching bands to the BAC are listed below each lane. The four BACs on the right were not assembled into the same contig.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
