img,img_path,modality,higher_modality
PMC1630709___pgen.0020176.g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC1630709___pgen.0020176.g003.jpg,area,GRAPHICS
PMC2042502___1471-2156-8-54-1.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2042502___1471-2156-8-54-1.jpg,area,GRAPHICS
PMC2535577___pgen.1000200.g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2535577___pgen.1000200.g002.jpg,area,GRAPHICS
PMC2614123___pgen.1000331.g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2614123___pgen.1000331.g002.jpg,area,GRAPHICS
PMC2630920___1471-2350-10-2-1.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2630920___1471-2350-10-2-1.jpg,area,GRAPHICS
PMC2630920___1471-2350-10-2-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2630920___1471-2350-10-2-2.jpg,area,GRAPHICS
PMC2672391___ijerph-06-00900f2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2672391___ijerph-06-00900f2.jpg,area,GRAPHICS
PMC2736928___1297-9686-41-39-4.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2736928___1297-9686-41-39-4.jpg,area,GRAPHICS
PMC2828403___1471-2156-11-9-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2828403___1471-2156-11-9-2.jpg,area,GRAPHICS
PMC2843664___1471-2458-10-86-3.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2843664___1471-2458-10-86-3.jpg,area,GRAPHICS
PMC2996330___pgen.1001230.g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC2996330___pgen.1001230.g002.jpg,area,GRAPHICS
PMC3036895___gmb-32-4-868-gfig1.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3036895___gmb-32-4-868-gfig1.jpg,area,GRAPHICS
PMC3138000___ijerph-08-01847f12.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3138000___ijerph-08-01847f12.jpg,area,GRAPHICS
PMC3146860___1471-2458-11-485-4.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3146860___1471-2458-11-485-4.jpg,area,GRAPHICS
