img	modality	set	source	img_path	higher_modality	caption	split_set	target
11373_2007_9226_Fig1_HTML-10.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-10.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-11.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-11.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-12.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-12.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-13.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-13.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-14.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-14.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-15.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-15.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	VAL	DMFL
11373_2007_9226_Fig1_HTML-16.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-16.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-17.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-17.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	VAL	DMFL
11373_2007_9226_Fig1_HTML-18.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-18.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	TRAIN	DMFL
11373_2007_9226_Fig1_HTML-19.jpg	DMFL	TRAIN	clef16	subfigure-classification/2016/train/DMFL/11373_2007_9226_Fig1_HTML-19.jpg	MICROSCOPY	Colocalization of hNopp140, pol I and rDNA repeats. ( a ) Distribution of hNopp140 and pol I. The rounded-up mitotic cells were collected from HeLa culture by mechanical shake-off (upper panel; arrows for anaphase, arrowheads for telophase). The attached cells were at interphase (lower panel). Cells were subjected to double-fluorescent immunostaining of pol I and hNopp140. The DNA was counterstained with Hoechst 33258. ( b ) Distribution of hNopp140 and rDNA. HeLa cells at interphase were visualized in FISH experiments with a biotin labeled rDNA probe and a detector, avidin ï¿½ï¿½ rhodamin conjugate. The same cells were also immunofluorescence-stained with anti-hNopp140 mAb. Arrow, Cajal body. ( c ) rDNA colocalized with the ectopically expressed hNopp140. HeLa cells transfected with Flag-tagged full-length hNopp140 were processed for detecting the rDNA and the Flag-tagged proteins. Bars, 10 ï¿½ Î¼ m	VAL	DMFL
