img	modality	set	source	img_path	higher_modality	caption	split_set
PMC4387739_12883_2015_303_Fig2_HTML-19.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC4387739_12883_2015_303_Fig2_HTML-19.png	GRAPHICS	skipped	TRAIN
PMC4387739_12883_2015_303_Fig2_HTML-20.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC4387739_12883_2015_303_Fig2_HTML-20.png	GRAPHICS	skipped	TRAIN
PMC4581556_NP2015-585783.003-2.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC4581556_NP2015-585783.003-2.png	GRAPHICS	skipped	TRAIN
PMC4727788_gr2-2.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC4727788_gr2-2.png	GRAPHICS	skipped	TRAIN
PMC4729030_13000_2016_455_Fig1_HTML-4.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC4729030_13000_2016_455_Fig1_HTML-4.png	GRAPHICS	skipped	TRAIN
PMC5298959_fonc-07-00018-g001-10.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC5298959_fonc-07-00018-g001-10.png	GRAPHICS	skipped	TRAIN
PMC5298959_fonc-07-00018-g001-7.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC5298959_fonc-07-00018-g001-7.png	GRAPHICS	skipped	TRAIN
PMC5298959_fonc-07-00018-g001-8.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC5298959_fonc-07-00018-g001-8.png	GRAPHICS	skipped	TRAIN
PMC5298959_fonc-07-00018-g001-9.png	GFIG	TRAIN	openi	OPENI_GRAPHICS/PMC5298959_fonc-07-00018-g001-9.png	GRAPHICS	skipped	TRAIN
PMC4387352_rt-2015-1-5634-g001-7.png	DRCT	TRAIN	openi	OPENI_CT/PMC4387352_rt-2015-1-5634-g001-7.png	ORGANISMS	skipped	TRAIN
PMC4491230_12883_2015_368_Fig1_HTML-5.png	DRCT	TRAIN	openi	OPENI_CT/PMC4491230_12883_2015_368_Fig1_HTML-5.png	ORGANISMS	skipped	TRAIN
PMC4554126_medi-94-e1190-g001-8.png	DRCT	TRAIN	openi	OPENI_CT/PMC4554126_medi-94-e1190-g001-8.png	ORGANISMS	skipped	TRAIN
PMC4554126_medi-94-e1190-g005-4.png	DRCT	TRAIN	openi	OPENI_CT/PMC4554126_medi-94-e1190-g005-4.png	ORGANISMS	skipped	TRAIN
PMC4559782_kjr-16-1104-g001-17.png	DRCT	TRAIN	openi	OPENI_CT/PMC4559782_kjr-16-1104-g001-17.png	ORGANISMS	skipped	TRAIN
PMC5035002_pone.0162940.g004-3.png	DRCT	TRAIN	openi	OPENI_CT/PMC5035002_pone.0162940.g004-3.png	ORGANISMS	skipped	TRAIN
PMC5035002_pone.0162940.g004-4.png	DRCT	TRAIN	openi	OPENI_CT/PMC5035002_pone.0162940.g004-4.png	ORGANISMS	skipped	TRAIN
PMC5035002_pone.0162940.g004-5.png	DRCT	TRAIN	openi	OPENI_CT/PMC5035002_pone.0162940.g004-5.png	ORGANISMS	skipped	TRAIN
PMC5298414_10.1177_2324709616683722-fig5-6.png	DRCT	TRAIN	openi	OPENI_CT/PMC5298414_10.1177_2324709616683722-fig5-6.png	ORGANISMS	skipped	TRAIN
PMC5298414_10.1177_2324709616683722-fig5-7.png	DRCT	TRAIN	openi	OPENI_CT/PMC5298414_10.1177_2324709616683722-fig5-7.png	ORGANISMS	skipped	TRAIN
