img	modality	set	source	img_path	higher_modality	caption	split_set
12178_2008_9027_Fig4_HTML-1.jpg	x-rays	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-1.jpg	ORGANISMS	( a ) This anteroposterior radiograph demonstrates a minimally displaced type II supracondylar fracture. ( b ) The lateral view shows slight posterior angulation of the distal fracture fragment. ( c ) After 4 ï¿½ weeks in a cast, there has been interval healing and elbow range of motion may be started	TRAIN
12178_2008_9027_Fig4_HTML-2.jpg	x-rays	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-2.jpg	ORGANISMS	( a ) This anteroposterior radiograph demonstrates a minimally displaced type II supracondylar fracture. ( b ) The lateral view shows slight posterior angulation of the distal fracture fragment. ( c ) After 4 ï¿½ weeks in a cast, there has been interval healing and elbow range of motion may be started	VAL
12178_2008_9027_Fig4_HTML-3.jpg	x-rays	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-3.jpg	ORGANISMS	( a ) This anteroposterior radiograph demonstrates a minimally displaced type II supracondylar fracture. ( b ) The lateral view shows slight posterior angulation of the distal fracture fragment. ( c ) After 4 ï¿½ weeks in a cast, there has been interval healing and elbow range of motion may be started	TRAIN
12178_2009_9056_Fig9_HTML-1.jpg	other	TRAIN	clef16	2016/train/DRUS/12178_2009_9056_Fig9_HTML-1.jpg	ORGANISMS	CTS patient #4. Longitudinal view of the median nerve pre-stress ( a ) and during stress ( b ). The median nerve is the darker, hypoechoic linear (or tubular) structure bordered by a thin hyperechoic rim (epineurium) traversing from the left to the right side of the image. The brighter, hyperechoic tubular structure with a fibrillar pattern just below the nerve is the flexor tendon. Note that during stress ( b ) there is compressive narrowing, seen as a depression or notching of the median nerve at the  ï¿½ï¿½ A ï¿½ï¿½  markers (centrally and slightly to the right), measured as a diameter decrease to 0.13 ï¿½ cm, from a pre-stress diameter of 0.20 ï¿½ cm. It appears that during contraction the thenar muscle mass located ventrally (above the nerve in this image) is bulging dorsally into the tunnel against the median nerve, and a portion of the flexor tendon has tightened and is bulging upward (ventrally) into the nerve, effectively  ï¿½ï¿½ sandwiching ï¿½ï¿½  the nerve between the muscle and tendon	VAL
12178_2009_9056_Fig9_HTML-2.jpg	other	TRAIN	clef16	2016/train/DRUS/12178_2009_9056_Fig9_HTML-2.jpg	ORGANISMS	CTS patient #4. Longitudinal view of the median nerve pre-stress ( a ) and during stress ( b ). The median nerve is the darker, hypoechoic linear (or tubular) structure bordered by a thin hyperechoic rim (epineurium) traversing from the left to the right side of the image. The brighter, hyperechoic tubular structure with a fibrillar pattern just below the nerve is the flexor tendon. Note that during stress ( b ) there is compressive narrowing, seen as a depression or notching of the median nerve at the  ï¿½ï¿½ A ï¿½ï¿½  markers (centrally and slightly to the right), measured as a diameter decrease to 0.13 ï¿½ cm, from a pre-stress diameter of 0.20 ï¿½ cm. It appears that during contraction the thenar muscle mass located ventrally (above the nerve in this image) is bulging dorsally into the tunnel against the median nerve, and a portion of the flexor tendon has tightened and is bulging upward (ventrally) into the nerve, effectively  ï¿½ï¿½ sandwiching ï¿½ï¿½  the nerve between the muscle and tendon	TRAIN
1423-0127-16-88-1-2.jpg	other	TRAIN	clef16	2016/train/DRMR/1423-0127-16-88-1-2.jpg	ORGANISMS	Trophoblast differentiation from embryoid bodies on the biomimetic platform . Panel (a) shows a non-cystic early EB. Panel (b) shows a late cytic EB with clear fluid filled cavity (red arrow) and a small mass of cells similar to inner cell mass (ICM) of an embryos (green arrowhead) pushed towards the top. Panel (c) shows a cystic EB outgrowing on the biomimetic platform on day 16. Panels (d) and (e) immunolocalization of trophoblast markers cytokeratin 8/Troma1 (red) and SSEA1 (green) in cytic EB outgrowths at early day 8. Blue (DAPI stain) represent the nuclei. This shows the evidences for the first signs for clear and distinct trophoblast cell differentiation from cystic EBs as early as day 8.,	TRAIN
1465-9921-12-111-1-1.jpg	mri/ct	TRAIN	clef16	2016/train/DRCT/1465-9921-12-111-1-1.jpg	ORGANISMS	High resolution CT scan in patient no. 1 shows severe pleural and subpleural thickening with moderate fibrotic changes in the marginal parenchyma . Traction bronchiectasis and honeycombing are also seen.,	TRAIN
1465-9921-12-111-1-2.jpg	mri/ct	TRAIN	clef16	2016/train/DRCT/1465-9921-12-111-1-2.jpg	ORGANISMS	High resolution CT scan in patient no. 1 shows severe pleural and subpleural thickening with moderate fibrotic changes in the marginal parenchyma . Traction bronchiectasis and honeycombing are also seen.,	TRAIN
1465-9921-12-111-1-3.jpg	mri/ct	TRAIN	clef16	2016/train/DRCT/1465-9921-12-111-1-3.jpg	ORGANISMS	High resolution CT scan in patient no. 1 shows severe pleural and subpleural thickening with moderate fibrotic changes in the marginal parenchyma . Traction bronchiectasis and honeycombing are also seen.,	TRAIN
1465-9921-12-111-1-4.jpg	mri/ct	TRAIN	clef16	2016/train/DRCT/1465-9921-12-111-1-4.jpg	ORGANISMS	High resolution CT scan in patient no. 1 shows severe pleural and subpleural thickening with moderate fibrotic changes in the marginal parenchyma . Traction bronchiectasis and honeycombing are also seen.,	TRAIN
