ID,FIG_NAME,MODALITY,HIGH_MODALITY
0,11373_2007_9226_Fig1_HTML-10,DMFL,MICROSCOPY
1,11373_2007_9226_Fig1_HTML-11,DMFL,MICROSCOPY
2,11373_2007_9226_Fig1_HTML-12,DMFL,MICROSCOPY
3,11373_2007_9226_Fig1_HTML-13,DMFL,MICROSCOPY
4,11373_2007_9226_Fig1_HTML-14,DMFL,MICROSCOPY
5,11373_2007_9226_Fig1_HTML-15,DMFL,MICROSCOPY
6,11373_2007_9226_Fig1_HTML-16,DMFL,MICROSCOPY
7,11373_2007_9226_Fig1_HTML-17,DMFL,MICROSCOPY
8,11373_2007_9226_Fig1_HTML-18,DMFL,MICROSCOPY
9,11373_2007_9226_Fig1_HTML-19,DMFL,MICROSCOPY
10,11373_2007_9226_Fig1_HTML-20,DMFL,MICROSCOPY
11,11373_2007_9226_Fig1_HTML-2,DMFL,MICROSCOPY
12,11373_2007_9226_Fig1_HTML-3,DMFL,MICROSCOPY
13,11373_2007_9226_Fig1_HTML-4,DMFL,MICROSCOPY
14,11373_2007_9226_Fig1_HTML-5,DMFL,MICROSCOPY
15,11373_2007_9226_Fig1_HTML-6,DMFL,MICROSCOPY
16,11373_2007_9226_Fig1_HTML-7,DMFL,MICROSCOPY
17,11373_2007_9226_Fig1_HTML-8,DMFL,MICROSCOPY
18,11373_2007_9226_Fig1_HTML-9,DMFL,MICROSCOPY
19,12178_2007_9007_Fig1_HTML-1,GHDR,GRAPHICS
20,12178_2007_9007_Fig1_HTML-2,DMTR,MICROSCOPY
21,12178_2007_9007_Fig1_HTML-3,GHDR,GRAPHICS
22,12178_2007_9007_Fig1_HTML-4,GHDR,GRAPHICS
23,12178_2008_9027_Fig4_HTML-1,DRXR,ORGANISMS
24,12178_2008_9027_Fig4_HTML-2,DRXR,ORGANISMS
25,12178_2008_9027_Fig4_HTML-3,DRXR,ORGANISMS
26,12178_2009_9056_Fig9_HTML-1,DRUS,ORGANISMS
27,12178_2009_9056_Fig9_HTML-2,DRUS,ORGANISMS
28,1297-9686-42-10-3-1,GFIG,GRAPHICS
29,1297-9686-42-10-3-2,GFIG,GRAPHICS
30,1297-9686-42-10-3-3,GFIG,GRAPHICS
31,1297-9686-42-10-3-4,GFIG,GRAPHICS
32,1423-0127-16-109-3-1,D3DR,MOLECULAR
33,1423-0127-16-109-3-2,D3DR,MOLECULAR
34,1423-0127-16-6-3-1,GGEL,EXPERIMENTAL
