	img	source	img_path	caption	split_set	modality	flag	needsCropping	isCompound	isOvercropped	isMissingSubfigures	isMissingPanels	numberSubpanes	username	observations	isOverfragmented	composition	number_modalities
0	5dfba084f5d15939fd4cade2	tinman	/tinman/pP31412244/P31412244/5_1/001.jpg	Figure 2. Atg2A Localizes to MAM upon Autophagy Induction(A) CrAtg2A/B U-2 OS cells were transduced with lentiviruses encoding sgRNA-resistant EGFP-Atg2A, starved for 2 h and subjected to immunoelectronmicroscopy using anti-GFP antibody. Scale bars represent 200 nm.(B) EGFP-Atg2A- and dsRed-ER-expressing CrAtg2A/B U-2 OS cells were incubated in CM or SM for 2 h, stained for TOM20, and analyzed by confocalmicroscopy. Magniﬁed images of the boxed areas are shown in the lower panels. Scale bars represent 10 mm and 2.5 mm in the magniﬁed images.(C) The ﬂuorescence intensity of EGFP-Atg2A in each cell under indicated conditions was quantiﬁed and normalized to the respective mean ﬂuorescence intensityof cells incubated in CM (n = 40).(D and E) Total EGFP-Atg2A puncta number per cell (D) and the percentage of EGFP-Atg2A puncta localize to cytosol (ERÀMITOÀ), ER (ER+MITOÀ), mitochondria(ERÀMITO+), or MAM (ER+MITO+) under CM or SM were quantiﬁed (n = 30) (E).Statistical signiﬁcance was determined by t test (C and D) or one-way ANOVA followed by Dunn’s multiple comparisons test (E). All values are mean ± SD.*p % 0.05; ****p % 0.0001.	TRAIN	MICROSCOPY,ELECTRON,TRANSMISSION	False	False	False	False	False	False	1	jtrell2	Not sure if it should be further separated	False		1
1	5dfba084f5d15939fd4cade3	tinman	/tinman/pP31412244/P31412244/5_1/004.jpg	Figure 2. Atg2A Localizes to MAM upon Autophagy Induction(A) CrAtg2A/B U-2 OS cells were transduced with lentiviruses encoding sgRNA-resistant EGFP-Atg2A, starved for 2 h and subjected to immunoelectronmicroscopy using anti-GFP antibody. Scale bars represent 200 nm.(B) EGFP-Atg2A- and dsRed-ER-expressing CrAtg2A/B U-2 OS cells were incubated in CM or SM for 2 h, stained for TOM20, and analyzed by confocalmicroscopy. Magniﬁed images of the boxed areas are shown in the lower panels. Scale bars represent 10 mm and 2.5 mm in the magniﬁed images.(C) The ﬂuorescence intensity of EGFP-Atg2A in each cell under indicated conditions was quantiﬁed and normalized to the respective mean ﬂuorescence intensityof cells incubated in CM (n = 40).(D and E) Total EGFP-Atg2A puncta number per cell (D) and the percentage of EGFP-Atg2A puncta localize to cytosol (ERÀMITOÀ), ER (ER+MITOÀ), mitochondria(ERÀMITO+), or MAM (ER+MITO+) under CM or SM were quantiﬁed (n = 30) (E).Statistical signiﬁcance was determined by t test (C and D) or one-way ANOVA followed by Dunn’s multiple comparisons test (E). All values are mean ± SD.*p % 0.05; ****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	True	False	False	False	1	jtrell2	Confocal microscopy	False		1
2	5dfba084f5d15939fd4cade4	tinman	/tinman/pP31412244/P31412244/5_1/003.jpg	Figure 2. Atg2A Localizes to MAM upon Autophagy Induction(A) CrAtg2A/B U-2 OS cells were transduced with lentiviruses encoding sgRNA-resistant EGFP-Atg2A, starved for 2 h and subjected to immunoelectronmicroscopy using anti-GFP antibody. Scale bars represent 200 nm.(B) EGFP-Atg2A- and dsRed-ER-expressing CrAtg2A/B U-2 OS cells were incubated in CM or SM for 2 h, stained for TOM20, and analyzed by confocalmicroscopy. Magniﬁed images of the boxed areas are shown in the lower panels. Scale bars represent 10 mm and 2.5 mm in the magniﬁed images.(C) The ﬂuorescence intensity of EGFP-Atg2A in each cell under indicated conditions was quantiﬁed and normalized to the respective mean ﬂuorescence intensityof cells incubated in CM (n = 40).(D and E) Total EGFP-Atg2A puncta number per cell (D) and the percentage of EGFP-Atg2A puncta localize to cytosol (ERÀMITOÀ), ER (ER+MITOÀ), mitochondria(ERÀMITO+), or MAM (ER+MITO+) under CM or SM were quantiﬁed (n = 30) (E).Statistical signiﬁcance was determined by t test (C and D) or one-way ANOVA followed by Dunn’s multiple comparisons test (E). All values are mean ± SD.*p % 0.05; ****p % 0.0001.	TRAIN	GRAPHICS,OTHER	False	False	False	False	False	False	1	jtrell2	Scatterplot?	False		1
3	5dfba084f5d15939fd4cade5	tinman	/tinman/pP31412244/P31412244/5_1/002.jpg	Figure 2. Atg2A Localizes to MAM upon Autophagy Induction(A) CrAtg2A/B U-2 OS cells were transduced with lentiviruses encoding sgRNA-resistant EGFP-Atg2A, starved for 2 h and subjected to immunoelectronmicroscopy using anti-GFP antibody. Scale bars represent 200 nm.(B) EGFP-Atg2A- and dsRed-ER-expressing CrAtg2A/B U-2 OS cells were incubated in CM or SM for 2 h, stained for TOM20, and analyzed by confocalmicroscopy. Magniﬁed images of the boxed areas are shown in the lower panels. Scale bars represent 10 mm and 2.5 mm in the magniﬁed images.(C) The ﬂuorescence intensity of EGFP-Atg2A in each cell under indicated conditions was quantiﬁed and normalized to the respective mean ﬂuorescence intensityof cells incubated in CM (n = 40).(D and E) Total EGFP-Atg2A puncta number per cell (D) and the percentage of EGFP-Atg2A puncta localize to cytosol (ERÀMITOÀ), ER (ER+MITOÀ), mitochondria(ERÀMITO+), or MAM (ER+MITO+) under CM or SM were quantiﬁed (n = 30) (E).Statistical signiﬁcance was determined by t test (C and D) or one-way ANOVA followed by Dunn’s multiple comparisons test (E). All values are mean ± SD.*p % 0.05; ****p % 0.0001.	TRAIN	GRAPHICS,OTHER	False	False	False	False	False	False	1	jtrell2	Scatterplot?	False		1
4	5dfba084f5d15939fd4cade6	tinman	/tinman/pP31412244/P31412244/5_1/005.jpg	Figure 2. Atg2A Localizes to MAM upon Autophagy Induction(A) CrAtg2A/B U-2 OS cells were transduced with lentiviruses encoding sgRNA-resistant EGFP-Atg2A, starved for 2 h and subjected to immunoelectronmicroscopy using anti-GFP antibody. Scale bars represent 200 nm.(B) EGFP-Atg2A- and dsRed-ER-expressing CrAtg2A/B U-2 OS cells were incubated in CM or SM for 2 h, stained for TOM20, and analyzed by confocalmicroscopy. Magniﬁed images of the boxed areas are shown in the lower panels. Scale bars represent 10 mm and 2.5 mm in the magniﬁed images.(C) The ﬂuorescence intensity of EGFP-Atg2A in each cell under indicated conditions was quantiﬁed and normalized to the respective mean ﬂuorescence intensityof cells incubated in CM (n = 40).(D and E) Total EGFP-Atg2A puncta number per cell (D) and the percentage of EGFP-Atg2A puncta localize to cytosol (ERÀMITOÀ), ER (ER+MITOÀ), mitochondria(ERÀMITO+), or MAM (ER+MITO+) under CM or SM were quantiﬁed (n = 30) (E).Statistical signiﬁcance was determined by t test (C and D) or one-way ANOVA followed by Dunn’s multiple comparisons test (E). All values are mean ± SD.*p % 0.05; ****p % 0.0001.	TRAIN	GRAPHICS,HISTOGRAM	False	False	False	False	False	False	1	jtrell2		False		1
5	5dfba084f5d15939fd4cade8	tinman	/tinman/pP31412244/P31412244/9_1/007.jpg	no caption extracted for this image	TRAIN	GRAPHICS,HISTOGRAM	False	False	False	False	False	False	1	jtrell2		False		1
6	5dfba084f5d15939fd4cade9	tinman	/tinman/pP31412244/P31412244/9_1/001.jpg	no caption extracted for this image	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	True	False	False	False	1	jtrell2	Confocal microscopy	False		1
7	5dfba084f5d15939fd4cadea	tinman	/tinman/pP31412244/P31412244/9_1/006.jpg	no caption extracted for this image	TRAIN	GRAPHICS,HISTOGRAM	False	False	False	False	False	False	1	jtrell2		False		1
8	5dfba084f5d15939fd4cadeb	tinman	/tinman/pP31412244/P31412244/9_1/008.jpg	no caption extracted for this image	TRAIN	GRAPHICS,HISTOGRAM	False	False	False	False	False	False	1	jtrell2		False		1
10	5dfba084f5d15939fd4caded	tinman	/tinman/pP31412244/P31412244/9_1/002.jpg	no caption extracted for this image	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
